Prix,Ville,Marque,Modèle,Année-Modèle,Kilométrage,Carburant,Puissance fiscale,Boite à vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance
60000,Salé,Peugeot,Partner,2005,224999.5,Diesel,7,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,Rabat,Hyundai,ix 35,2012,174999.5,Diesel,7,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
170000,Temara,Mercedes-Benz,Classe CLK,2010,224999.5,Diesel,9,Automatique,5,WW au Maroc,1,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
123000,Casablanca,Hyundai,ix 35,2012,104999.5,Diesel,8,Manuelle,5,WW au Maroc,0,Excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
155000,Salé,Volkswagen,PASSAT CC,2014,194999.5,Diesel,8,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60600,Marrakech,Volkswagen,GOLF 4,2001,114999.5,Diesel,8,Manuelle,5,Dédouanée,0,Très bon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
108000,Oujda,Mercedes-Benz,Classe C,2004,224999.5,Diesel,9,Manuelle,5,Dédouanée,0,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
125000,Zagora,Peugeot,2008,2015,174999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98000,El Jadida,Renault,Clio,2016,97499.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
101000,Casablanca,Renault,Clio,2019,27499.5,Diesel,6,Automatique,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
87000,Mohammedia,Renault,Kangoo,2011,224999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78000,Casablanca,Fiat,500,2009,114999.5,Diesel,6,Manuelle,3,WW au Maroc,0,Très bon,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
145000,Agadir,Volkswagen,Polo,2018,22499.5,Essence,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
115000,Fès,Renault,Megane 3,2016,82499.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,Ouarzazate,Dacia,Duster,2017,52499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
72000,Oujda,Toyota,VERSO,2008,324999.5,Diesel,8,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
75000,Imouzzer-Kendar,Citroen,C3,2014,194999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
140000,Khénifra,Renault,Megane 4,2017,174999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
168000,Temara,Hyundai,Elantra,2019,72499.5,Diesel,6,Automatique,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
155000,Temara,Nissan,Qashqai,2015,124999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
148000,Mohammedia,Volkswagen,GOLF 7,2015,174999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
90000,Marrakech,Mercedes-Benz,220,2001,12499.5,Diesel,11,Manuelle,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113000,El Jadida,Renault,Kangoo,2016,164999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107000,Fès,Volkswagen,GOLF 5,2008,224999.5,Diesel,8,Manuelle,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
62000,Meknès,Peugeot,206+,2010,97499.5,Essence,6,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98000,Safi,Peugeot,Tepee,2010,184999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
65000,Fès,Dacia,Logan,2013,174999.5,Diesel,7,Manuelle,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85000,Agadir,Skoda,Octavia,2008,164999.5,Diesel,8,Manuelle,5,WW au Maroc,1,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
195000,Casablanca,Renault,Master,2019,27499.5,Diesel,9,Manuelle,5,Importée neuve,1,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
360000,Tanger,Audi,Q5,2015,104999.5,Diesel,6,Automatique,5,Importée neuve,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
130000,Meknès,Dacia,Duster,2016,224999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76000,El Kelâa des Sraghna,Peugeot,208,2017,104999.5,Essence,6,Manuelle,5,WW au Maroc,1,Bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65000,Béni Mellal,Opel,Astra,2001,174999.5,Essence,10,Automatique,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
88000,Casablanca,Volkswagen,Touareg,2009,22499.5,Diesel,12,Automatique,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,Laâyoune,Dacia,Logan,2018,7499.5,Essence,7,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
435000,Casablanca,Land Rover,Range Rover Evoque,2019,67499.5,Diesel,8,Automatique,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
84000,Fès,Dacia,Logan,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85000,Casablanca,Renault,Megane 3,2009,134999.5,Diesel,6,Manuelle,3,WW au Maroc,0,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
66000,Casablanca,Hyundai,i 10,2016,114999.5,Essence,6,Manuelle,5,WW au Maroc,0,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
93000,Kénitra,Ford,Focus,2010,224999.5,Diesel,7,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
72000,Al Hoceïma,Peugeot,208,2015,114999.5,Essence,7,Manuelle,5,WW au Maroc,0,Bon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
68000,Casablanca,Toyota,Hilux,1998,374999.5,Diesel,10,Manuelle,3,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,Casablanca,Renault,Captur,2013,62499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
67000,Casablanca,Hyundai,i 10,2015,7499.5,Essence,6,Manuelle,5,WW au Maroc,1,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
63000,Rabat,Toyota,Corolla,2005,144999.5,Essence,7,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
430000,Fès,BMW,Serie 5,2017,124999.5,Diesel,12,Automatique,5,Importée neuve,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
123000,Marrakech,Dacia,Duster,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173000,Fès,Ford,C-Max,2019,12499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
78000,Agadir,Fiat,Doblo,2016,2499.5,Diesel,5,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
125000,Kénitra,Peugeot,508,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
155000,Meknès,Mercedes-Benz,Classe E,2010,224999.5,Diesel,9,Manuelle,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
122000,Casablanca,Renault,Clio,2019,42499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
90000,Agadir,Volkswagen,Touareg,2009,2499.5,Diesel,8,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125000,Meknès,Ford,Fiesta,2018,77499.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150000,Rabat,Toyota,Corolla,2017,47499.5,Diesel,5,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,Tanger,BMW,X1,2011,224999.5,Diesel,8,Manuelle,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
500000,Agadir,Mercedes-Benz,Classe A,2020,37499.5,Diesel,9,Automatique,5,Importée neuve,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
235000,Casablanca,Volkswagen,Jetta,2021,42499.5,Diesel,8,Automatique,5,Importée neuve,1,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133000,Casablanca,Fiat,500L,2016,62499.5,Diesel,7,Automatique,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103000,Casablanca,Renault,Clio,2015,184999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
73000,Taza,Toyota,Corolla,2006,224999.5,Diesel,8,Manuelle,5,Importée neuve,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
72000,Khénifra,Toyota,Yaris,2013,144999.5,Essence,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
63000,Meknès,Audi,A4,2003,184999.5,Diesel,8,Manuelle,5,Importée neuve,0,Bon,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
89000,Salé,Renault,Clio,2019,47499.5,Diesel,7,Manuelle,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
65000,Khemisset,Ford,Focus,2007,224999.5,Essence,9,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
63000,Fès,Renault,Laguna,2003,2499.5,Diesel,7,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
89000,Agadir,Dacia,Logan,2018,174999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
71000,Essaouira,Fiat,Punto,2013,104999.5,Essence,5,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
85000,Rabat,Peugeot,208,2014,47499.5,Diesel,7,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
155000,Casablanca,Volkswagen,Jetta,2018,154999.5,Diesel,8,Automatique,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138000,Azrou,Renault,Kangoo,2017,124999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
146000,Casablanca,Citroen,C3,2019,27499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
66000,Rabat,Volkswagen,Polo,2007,194999.5,Diesel,8,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
123000,Salé,Volkswagen,PASSAT CC,2008,164999.5,Diesel,8,Automatique,5,Dédouanée,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80300,Oualidia,Renault,Kangoo,2012,224999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78000,Agadir,Volkswagen,GOLF 5,2009,52499.5,Diesel,8,Manuelle,5,Dédouanée,0,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
350000,Rabat,Audi,A3,2018,12499.5,Diesel,8,Automatique,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
165000,El Jadida,Renault,Megane 4,2018,57499.5,Diesel,6,Automatique,5,Dédouanée,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
102000,Tanger,Fiat,FIORINO,2019,47499.5,Diesel,5,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
67000,Casablanca,Peugeot,Bipper,2013,224999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85000,Bouznika,Mercedes-Benz,220,2002,224999.5,Diesel,8,Manuelle,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
62000,Agadir,Renault,Kangoo,2005,224999.5,Diesel,7,Manuelle,5,WW au Maroc,1,Très bon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73000,Kénitra,Mercedes-Benz,250,1999,194999.5,Diesel,9,Automatique,5,Dédouanée,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
138000,Khouribga,Peugeot,308,2017,104999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
119000,Rabat,Ford,Focus,2013,154999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
290000,Tanger,Audi,Q2,2018,87499.5,Diesel,8,Automatique,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
98000,Agadir,Fiat,FIORINO,2018,104999.5,Diesel,5,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
90000,Casablanca,Citroen,Berlingo,2012,194999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
67000,Bouznika,Dacia,Sandero,2011,224999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,Kénitra,Fiat,TIPO,2018,62499.5,Diesel,5,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
60000,Salé,Volkswagen,Passat,2004,274999.5,Diesel,8,Manuelle,5,Importée neuve,1,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
66000,Al Hoceïma,Mercedes-Benz,190,1991,2499.5,Diesel,8,Manuelle,3,Dédouanée,0,Pour Pièces,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
260000,Meknès,Audi,A3,2017,92499.5,Diesel,8,Automatique,5,Dédouanée,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,Al Hoceïma,Peugeot,301,2013,224999.5,Essence,7,Manuelle,5,WW au Maroc,0,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
240000,Casablanca,Volkswagen,Touran,2017,184999.5,Diesel,8,Automatique,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
68000,Berkane,Fiat,Doblo,2013,184999.5,Diesel,5,Manuelle,3,WW au Maroc,0,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,Laattaouia,Hyundai,Accent,2020,154999.5,Diesel,6,Automatique,5,WW au Maroc,1,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
78000,Tanger,Kia,Sorento,2008,224999.5,Diesel,8,Manuelle,5,Dédouanée,0,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74000,Guercif,Peugeot,407,2006,224999.5,Diesel,8,Automatique,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
77000,Casablanca,Fiat,Doblo,2012,32499.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158000,Agadir,Nissan,Juke,2019,22499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
120000,Mohammedia,Skoda,Superb,2012,224999.5,Diesel,8,Automatique,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1450000,Berkane,Audi,A3,2008,224999.5,Diesel,8,Automatique,5,Dédouanée,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92000,Casablanca,Peugeot,308,2012,154999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,Tanger,Citroen,C1,2008,67499.5,Diesel,6,Manuelle,5,Dédouanée,1,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138000,Casablanca,Hyundai,i 30,2016,114999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
